HongShang1,HongShang1,Fund
HongShang1*11220003,11220003,Account
HongShang1*11220003*Id807035.MFA_T0_B,Id807035.MFA_T0_B,Strategy
HongShang1*11220003*Id807035.MFA_T0_B*DLi_SQrb@HongShang1@Id807035.MFA@26204,DLi_SQrb@HongShang1@Id807035.MFA@26204,Trader
HongShang1*11220003*Id807035.MFA_T0_B*SQrb_SQhc@HongShang1@Id807035.MFA@26219,SQrb_SQhc@HongShang1@Id807035.MFA@26219,Trader
HongShang1*11220003*Id807035.MFA_T0_B*DLi_DLj@HongShang1@Id807035.MFA@26201,DLi_DLj@HongShang1@Id807035.MFA@26201,Trader
HongShang1*11220003*Id807035.MFA_T0_B*DLj_SQrb@HongShang1@Id807035.MFA@26213,DLj_SQrb@HongShang1@Id807035.MFA@26213,Trader
HongShang1*11220003*Id007969_IntraCom2,Id007969_IntraCom2,Strategy
HongShang1*11220003*Id007969_IntraCom2*ZZSM@HongShang1@Id007969_IntraCom2@60723,ZZSM@HongShang1@Id007969_IntraCom2@60723,Trader
HongShang1*11220003*Id007969_IntraCom2*SQru@HongShang1@Id007969_IntraCom2@60716,SQru@HongShang1@Id007969_IntraCom2@60716,Trader
HongShang1*11220003*Id007969_IntraCom2*ZZRM@HongShang1@Id007969_IntraCom2@60722,ZZRM@HongShang1@Id007969_IntraCom2@60722,Trader
HongShang1*11220003*Id007969_IntraCom2*DLpp@HongShang1@Id007969_IntraCom2@60706,DLpp@HongShang1@Id007969_IntraCom2@60706,Trader
HongShang1*11220003*Id007969_IntraCom2*DLm@HongShang1@Id007969_IntraCom2@60705,DLm@HongShang1@Id007969_IntraCom2@60705,Trader
HongShang1*11220003*Id007969_IntraCom2*ZZMA@HongShang1@Id007969_IntraCom2@60720,ZZMA@HongShang1@Id007969_IntraCom2@60720,Trader
HongShang1*11220003*Cn.Id807035.All_BN,Cn.Id807035.All_BN,Strategy
