chain,(多项),,,,,,,,
item,(全部),,,,,,,,
,,,,,,,,,
,列标签,,,,,,,,
行标签,DLc_DLcs@QiuShi1@CnCom.Id807012.ComQSL1@60602-pm,DLcs_DLc@QiuShi1@CnCom.Id807012.ComQSL1@60601-pm,DLl_DLpp@QiuShi1@CnCom.Id807012.ComQSL1@60605-pm,DLpp_DLl@QiuShi1@CnCom.Id807012.ComQSL1@60606-pm,DLy_ZZOI@QiuShi1@CnCom.Id807012.ComQSL1@60607-pm,SQhc_SQrb@QiuShi1@CnCom.Id807012.ComQSL1@60608-pm,SQrb_SQhc@QiuShi1@CnCom.Id807012.ComQSL1@60609-pm,ZZOI_DLy@QiuShi1@CnCom.Id807012.ComQSL1@60610-pm,总计
20190520,,,,,,,,,
20190521,,,,,,,,,
20190524,,,,,,,,,
20190528,,,,,,,,,
20190529,,,,,,,,,
20190530,,,,,,,,,
20190531,,,,,,,,,
20190603,,,,,,,,,
20190604,,,,,,,,,
20190605,,,,,,,,,
20190606,,,,,,,,,
20190610,,,,,,,,,
20190611,,,,,,,,,
20190612,,,,,,,,,
20190613,,,,,,,,,
20190614,,,,,,,,,
20190617,,,,,,,,,
20190618,,,,,,,,,
总计,,,,,,,,,
