ShengShi9,ShengShi9,Fund
ShengShi9*819198,819198,Account
ShengShi9*819198*CnCom.Id807045.IhIfGlb_MRS,CnCom.Id807045.IhIfGlb_MRS,Strategy
ShengShi9*819198*CnCom.Id807045.IhIfGlb_MRS*SSE50_SgxCN@ShengShi9@CnCom.Id807045.IhIfGlb_MRS@60115,SSE50_SgxCN@ShengShi9@CnCom.Id807045.IhIfGlb_MRS@60115,Trader
ShengShi9*819198*CnCom.Id807045.IhIfGlb_MRS*CSI300_SgxCN@ShengShi9@CnCom.Id807045.IhIfGlb_MRS@60107,CSI300_SgxCN@ShengShi9@CnCom.Id807045.IhIfGlb_MRS@60107,Trader
ShengShi9*819198*CnCom.Id807035.CalArbAll2N,CnCom.Id807035.CalArbAll2N,Strategy
ShengShi9*819198*CnCom.Id807035.CalArbAll2N*DLy@ShengShi9@CnCom.Id807035.CalArbAll2N@58705,DLy@ShengShi9@CnCom.Id807035.CalArbAll2N@58705,Trader
ShengShi9*819198*CnCom.Id807035.CalArbAll2N*DLp@ShengShi9@CnCom.Id807035.CalArbAll2N@58701,DLp@ShengShi9@CnCom.Id807035.CalArbAll2N@58701,Trader
ShengShi9*819198*CnCom.Id807035.CalArbAll2N*DLp@ShengShi9@CnCom.Id807035.CalArbAll2N@58702,DLp@ShengShi9@CnCom.Id807035.CalArbAll2N@58702,Trader
ShengShi9*819198*CnCom.Id807035.CalArbAll2N*DLp@ShengShi9@CnCom.Id807035.CalArbAll2N@58703,DLp@ShengShi9@CnCom.Id807035.CalArbAll2N@58703,Trader
ShengShi9*819198*Id807035.MFA_T0_C,Id807035.MFA_T0_C,Strategy
ShengShi9*819198*Id807035.MFA_T0_C*ZZMA_SQbu@ShengShi9@Id807035.MFA@26314,ZZMA_SQbu@ShengShi9@Id807035.MFA@26314,Trader
ShengShi9*819198*Id807035.MFA_T0_C*ZZTA_ZZMA@ShengShi9@Id807035.MFA@26318,ZZTA_ZZMA@ShengShi9@Id807035.MFA@26318,Trader
ShengShi9*819198*Id807035.MFA_T0_C*ZZTA_SQru@ShengShi9@Id807035.MFA@26317,ZZTA_SQru@ShengShi9@Id807035.MFA@26317,Trader
ShengShi9*819198*Id807035.MFA_T0_C*DLpp_SQru@ShengShi9@Id807035.MFA@26306,DLpp_SQru@ShengShi9@Id807035.MFA@26306,Trader
ShengShi9*819198*Id807035.MFA_T0_C*DLv_SQru@ShengShi9@Id807035.MFA@26310,DLv_SQru@ShengShi9@Id807035.MFA@26310,Trader
ShengShi9*819198*Id807035.MFA_T0_C*ZZMA_SQru@ShengShi9@Id807035.MFA@26315,ZZMA_SQru@ShengShi9@Id807035.MFA@26315,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old,CnCom.Id807012_VsScL1_Old,Strategy
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*SQbu_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61613,SQbu_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61613,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*ZZMA_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61622,ZZMA_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61622,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*SQru_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61619,SQru_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61619,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*SQbu_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61513,SQbu_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61513,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*SQfu_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61616,SQfu_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61616,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*SQru_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61519,SQru_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61519,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*DLl_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61604,DLl_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61604,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*ZZTA_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61525,ZZTA_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61525,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*DLv_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61510,DLv_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61510,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*SQfu_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61516,SQfu_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61516,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*ZZMA_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61522,ZZMA_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61522,Trader
ShengShi9*819198*CnCom.Id807012_VsScL1_Old*DLv_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61610,DLv_SQsc@ShengShi9@CnCom.Id807012_VsScL1@61610,Trader
