Prop5,Prop5,Fund
Prop5*11180151 - 180380,11180151 - 180380,Account
Prop5*11180151 - 180380*CnCom.Id807012.SQniWxNi,CnCom.Id807012.SQniWxNi,Strategy
Prop5*11180151 - 180380*CnCom.Id807012.SQniWxNi*SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58804,SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58804,Trader
Prop5*11180151 - 180380*CnCom.Id807012.SQniWxNi*SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58803,SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58803,Trader
Prop5*11180151 - 180380*CnCom.Id807012.SQniWxNi*SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58805,SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58805,Trader
Prop5*11180151 - 180380*CnCom.Id807012.SQniWxNi*SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58802,SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58802,Trader
Prop5*11180151 - 180380*CnCom.Id807012.SQniWxNi*SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58802-2,SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58802-2,Trader
Prop5*11180151 - 180380*CnCom.Id807012.SQniWxNi*SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58801,SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58801,Trader
Prop5*11180151 - 180380*CnCom.Id807012.SQniWxNi*SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58803-2,SQni_WxNi@Prop5@CnCom.Id807012.SQniWxNi@58803-2,Trader
Prop5*1803801,1803801,Account
Prop5*1803801*Id807045_WxNi_V7L1,Id807045_WxNi_V7L1,Strategy
Prop5*1803801*Id807045_WxNi_V7L1*WxNi_SQni@Prop5@Id807045_WxNi_V7L1@58401_1,WxNi_SQni@Prop5@Id807045_WxNi_V7L1@58401_1,Trader
Prop5*1803801 - 1803802,1803801 - 1803802,Account
Prop5*1803801 - 1803802*CnCom.Id807012.WxNiQSL1,CnCom.Id807012.WxNiQSL1,Strategy
Prop5*1803801 - 1803802*CnCom.Id807012.WxNiQSL1*WxNi_SQni@Prop5@CnCom.Id807012.WxNiQSL1@60412,WxNi_SQni@Prop5@CnCom.Id807012.WxNiQSL1@60412,Trader
Prop5*727393,727393,Account
