KangQian2,KangQian2,Fund
KangQian2*8171216,8171216,Account
KangQian2*8171216*ChinaIndexFuturesA1500S.IF300,ChinaIndexFuturesA1500S.IF300,Strategy
KangQian2*8171216*ChinaIndexFuturesA1500S.IF300*CSI300@KangQian2@ChinaIndexFuturesA1500S.IF300@30101,CSI300@KangQian2@ChinaIndexFuturesA1500S.IF300@30101,Trader
KangQian2*8171216*Cn.Id807035.All_BN,Cn.Id807035.All_BN,Strategy
KangQian2*8171216*Cn.Id807035.All_BN*DLj_SQhc@KangQian2@Cn.Id807035.All_BN@59205,DLj_SQhc@KangQian2@Cn.Id807035.All_BN@59205,Trader
KangQian2*8171216*Cn.Id807035.All_BN*DLi_DLjm@KangQian2@Cn.Id807035.All_BN@59201,DLi_DLjm@KangQian2@Cn.Id807035.All_BN@59201,Trader
KangQian2*8171216*CnCom.Id807045.IhIfGlb_MRS,CnCom.Id807045.IhIfGlb_MRS,Strategy
KangQian2*8171216*CnCom.Id807045.IhIfGlb_MRS*SSE50_SgxCN@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60115,SSE50_SgxCN@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60115,Trader
KangQian2*8171216*CnCom.Id807045.IhIfGlb_MRS*CSI300_SgxCN@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60107,CSI300_SgxCN@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60107,Trader
KangQian2*8171216*CnCom.Id807045.IhIfGlb_MRS*SSE50_HHI@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60110,SSE50_HHI@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60110,Trader
KangQian2*8171216*CnCom.Id807045.IhIfGlb_MRS*CSI300_HHI@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60101,CSI300_HHI@KangQian2@CnCom.Id807045.IhIfGlb_MRS@60101,Trader
KangQian2*8171216*Id807035.MFA_T0_B,Id807035.MFA_T0_B,Strategy
KangQian2*8171216*Id807035.MFA_T0_B*SQrb_SQhc@KangQian2@Id807035.MFA@26219,SQrb_SQhc@KangQian2@Id807035.MFA@26219,Trader
KangQian2*8171216*Id807035.MFA_T0_B*DLi_SQhc@KangQian2@Id807035.MFA@26203,DLi_SQhc@KangQian2@Id807035.MFA@26203,Trader
KangQian2*8171216*Id807035.MFA_T0_B*DLi_DLj@KangQian2@Id807035.MFA@26201,DLi_DLj@KangQian2@Id807035.MFA@26201,Trader
KangQian2*8171216*Id807035.MFA_T0_B*DLi_SQrb@KangQian2@Id807035.MFA@26204,DLi_SQrb@KangQian2@Id807035.MFA@26204,Trader
KangQian2*8171216*Id807035.MFA_T0_C,Id807035.MFA_T0_C,Strategy
KangQian2*8171216*Id807035.MFA_T0_C*ZZTA_SQru@KangQian2@Id807035.MFA@26317,ZZTA_SQru@KangQian2@Id807035.MFA@26317,Trader
KangQian2*8171216*Id807035.MFA_T0_C*ZZTA_SQbu@KangQian2@Id807035.MFA@26316,ZZTA_SQbu@KangQian2@Id807035.MFA@26316,Trader
KangQian2*8171216*Id807035.MFA_T0_C*ZZMA_SQru@KangQian2@Id807035.MFA@26315,ZZMA_SQru@KangQian2@Id807035.MFA@26315,Trader
KangQian2*8171216*Id807035.MFA_T0_C*ZZMA_SQbu@KangQian2@Id807035.MFA@26314,ZZMA_SQbu@KangQian2@Id807035.MFA@26314,Trader
KangQian2*8171216*Id807035.MFA_T0_C*DLl_SQru@KangQian2@Id807035.MFA@26303,DLl_SQru@KangQian2@Id807035.MFA@26303,Trader
KangQian2*8171216*Id807035.MFA_T0_C*ZZTA_ZZMA@KangQian2@Id807035.MFA@26318,ZZTA_ZZMA@KangQian2@Id807035.MFA@26318,Trader
KangQian2*8171216*Id807035.MFA_T0_C*DLl_ZZTA@KangQian2@Id807035.MFA@26304,DLl_ZZTA@KangQian2@Id807035.MFA@26304,Trader
KangQian2*8171216*Id807035.MFA_T0_C*DLpp_ZZTA@KangQian2@Id807035.MFA@26307,DLpp_ZZTA@KangQian2@Id807035.MFA@26307,Trader
KangQian2*8171216*Id807035.MFA_T0_C*SQbu_SQru@KangQian2@Id807035.MFA@26313,SQbu_SQru@KangQian2@Id807035.MFA@26313,Trader
KangQian2*8171216*Id807035.MFA_T0_C*DLpp_SQru@KangQian2@Id807035.MFA@26306,DLpp_SQru@KangQian2@Id807035.MFA@26306,Trader
KangQian2*8171216*Id807035.MFA_T0_C*DLv_ZZTA@KangQian2@Id807035.MFA@26312,DLv_ZZTA@KangQian2@Id807035.MFA@26312,Trader
KangQian2*8171216*CnCom.Id007969.IntraSC,CnCom.Id007969.IntraSC,Strategy
KangQian2*8171216*CnCom.Id007969.IntraSC*SQsc@KangQian2@CnCom.Id007969.IntraSC@26501,SQsc@KangQian2@CnCom.Id007969.IntraSC@26501,Trader
KangQian2*8171216*Id007969_IntraCom2,Id007969_IntraCom2,Strategy
KangQian2*8171216*Id007969_IntraCom2*SQhc@KangQian2@Id007969_IntraCom2@60713,SQhc@KangQian2@Id007969_IntraCom2@60713,Trader
KangQian2*8171216*Id007969_IntraCom2*DLl@KangQian2@Id007969_IntraCom2@60704,DLl@KangQian2@Id007969_IntraCom2@60704,Trader
KangQian2*8171216*Id007969_IntraCom2*ZZTA@KangQian2@Id007969_IntraCom2@60725,ZZTA@KangQian2@Id007969_IntraCom2@60725,Trader
KangQian2*8171216*Id007969_IntraCom2*SQal@KangQian2@Id007969_IntraCom2@60710,SQal@KangQian2@Id007969_IntraCom2@60710,Trader
KangQian2*8171216*Id007969_IntraCom2*DLj@KangQian2@Id007969_IntraCom2@60703,DLj@KangQian2@Id007969_IntraCom2@60703,Trader
KangQian2*8171216*Id007969_IntraCom2*DLpp@KangQian2@Id007969_IntraCom2@60706,DLpp@KangQian2@Id007969_IntraCom2@60706,Trader
KangQian2*8171216*Id007969_IntraCom2*SQru@KangQian2@Id007969_IntraCom2@60716,SQru@KangQian2@Id007969_IntraCom2@60716,Trader
KangQian2*8171216*Id007969_IntraCom2*ZZRM@KangQian2@Id007969_IntraCom2@60722,ZZRM@KangQian2@Id007969_IntraCom2@60722,Trader
KangQian2*8171216*Id007969_IntraCom2*DLm@KangQian2@Id007969_IntraCom2@60705,DLm@KangQian2@Id007969_IntraCom2@60705,Trader
KangQian2*8171216*Id007969_IntraCom2*DLa@KangQian2@Id007969_IntraCom2@60701,DLa@KangQian2@Id007969_IntraCom2@60701,Trader
KangQian2*8171216*Id007969_IntraCom2*ZZSM@KangQian2@Id007969_IntraCom2@60723,ZZSM@KangQian2@Id007969_IntraCom2@60723,Trader
KangQian2*8171216*Id007969_IntraCom2*ZZMA@KangQian2@Id007969_IntraCom2@60720,ZZMA@KangQian2@Id007969_IntraCom2@60720,Trader
KangQian2*8171216*Cn.Id807035.All_AN,Cn.Id807035.All_AN,Strategy
KangQian2*8171216*Cn.Id807035.All_AN*DLp_ZZOI@KangQian2@Cn.Id807035.All_AN@59103,DLp_ZZOI@KangQian2@Cn.Id807035.All_AN@59103,Trader
KangQian2*8171216*Cn.Id807035.All_AN*DLp_DLy@KangQian2@Cn.Id807035.All_AN@59102,DLp_DLy@KangQian2@Cn.Id807035.All_AN@59102,Trader
KangQian2*8171216*CSI.Id007969.S0Intra,CSI.Id007969.S0Intra,Strategy
KangQian2*8171216*CSI.Id007969.S0Intra*CSI300@KangQian2@CSI.Id007969.S0Intra@59801,CSI300@KangQian2@CSI.Id007969.S0Intra@59801,Trader
KangQian2*8171216*CSI.Id007969.S0Intra*CSI500@KangQian2@CSI.Id007969.S0Intra@59802,CSI500@KangQian2@CSI.Id007969.S0Intra@59802,Trader
KangQian2*8171216*CSI.Id007969.S0Intra*SSE50@KangQian2@CSI.Id007969.S0Intra@59803,SSE50@KangQian2@CSI.Id007969.S0Intra@59803,Trader
KangQian2*8171216*CnCom.Id807035.CalArbAll2N,CnCom.Id807035.CalArbAll2N,Strategy
KangQian2*8171216*CnCom.Id807035.CalArbAll2N*DLp@KangQian2@CnCom.Id807035.CalArbAll2N@58702,DLp@KangQian2@CnCom.Id807035.CalArbAll2N@58702,Trader
KangQian2*8171216*CnCom.Id807035.CalArbAll2N*DLy@KangQian2@CnCom.Id807035.CalArbAll2N@58705,DLy@KangQian2@CnCom.Id807035.CalArbAll2N@58705,Trader
KangQian2*8171216*CnCom.Id807035.CalArbAll2N*DLp@KangQian2@CnCom.Id807035.CalArbAll2N@58701,DLp@KangQian2@CnCom.Id807035.CalArbAll2N@58701,Trader
QiuShi1,QiuShi1,Fund
QiuShi1*11220005,11220005,Account
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1,CnCom.Id807012.BuFu3_V5L1,Strategy
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQfu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30413,SQfu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30413,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQfu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30417,SQfu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30417,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30401,SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30401,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQfu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30410,SQfu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30410,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30405,SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30405,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQfu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30414,SQfu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30414,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30408,SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30408,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30404,SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30404,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30407,SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30407,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30409,SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30409,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30402,SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30402,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQfu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30411,SQfu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30411,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQfu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30416,SQfu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30416,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30406,SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30406,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1*SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30403,SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1@30403,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N,CnCom.Id807012.BuFu3_V5L1N,Strategy
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQfu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30417,SQfu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30417,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQfu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30410,SQfu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30410,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30401,SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30401,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30406,SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30406,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30408,SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30408,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQfu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30413,SQfu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30413,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30403,SQbu_BZ@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30403,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQfu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30414,SQfu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30414,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQfu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30416,SQfu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30416,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30409,SQbu_SQsc@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30409,Trader
QiuShi1*11220005*CnCom.Id807012.BuFu3_V5L1N*SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30405,SQbu_CL@QiuShi1@CnCom.Id807012.BuFu3_V5L1N@30405,Trader
