ShengShi8,ShengShi8,Fund
ShengShi8*11220006,11220006,Account
ShengShi8*11220006*CnCom.Id807035.CalArbAll2,CnCom.Id807035.CalArbAll2,Strategy
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLp@ShengShi8@CnCom.Id807035.CalArbAll2@58613,DLp@ShengShi8@CnCom.Id807035.CalArbAll2@58613,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLy@ShengShi8@CnCom.Id807035.CalArbAll2@58615,DLy@ShengShi8@CnCom.Id807035.CalArbAll2@58615,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLy@ShengShi8@CnCom.Id807035.CalArbAll2@58614,DLy@ShengShi8@CnCom.Id807035.CalArbAll2@58614,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLjd@ShengShi8@CnCom.Id807035.CalArbAll2@58604,DLjd@ShengShi8@CnCom.Id807035.CalArbAll2@58604,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLm@ShengShi8@CnCom.Id807035.CalArbAll2@58611,DLm@ShengShi8@CnCom.Id807035.CalArbAll2@58611,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLj@ShengShi8@CnCom.Id807035.CalArbAll2@58606,DLj@ShengShi8@CnCom.Id807035.CalArbAll2@58606,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*ZZMA@ShengShi8@CnCom.Id807035.CalArbAll2@58620,ZZMA@ShengShi8@CnCom.Id807035.CalArbAll2@58620,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLl@ShengShi8@CnCom.Id807035.CalArbAll2@58609,DLl@ShengShi8@CnCom.Id807035.CalArbAll2@58609,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLj@ShengShi8@CnCom.Id807035.CalArbAll2@58607,DLj@ShengShi8@CnCom.Id807035.CalArbAll2@58607,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLm@ShengShi8@CnCom.Id807035.CalArbAll2@58610,DLm@ShengShi8@CnCom.Id807035.CalArbAll2@58610,Trader
ShengShi8*11220006*CnCom.Id807035.CalArbAll2*DLp@ShengShi8@CnCom.Id807035.CalArbAll2@58612,DLp@ShengShi8@CnCom.Id807035.CalArbAll2@58612,Trader
ShengShi8*11220006*Id807035.MFA_T0_C,Id807035.MFA_T0_C,Strategy
ShengShi8*11220006*Id807035.MFA_T0_C*DLv_SQru@ShengShi8@Id807035.MFA@26310,DLv_SQru@ShengShi8@Id807035.MFA@26310,Trader
ShengShi8*11220006*Id807035.MFA_T0_C*DLv_ZZTA@ShengShi8@Id807035.MFA@26312,DLv_ZZTA@ShengShi8@Id807035.MFA@26312,Trader
ShengShi8*11220006*Id807035.MFA_T0_C*ZZMA_SQbu@ShengShi8@Id807035.MFA@26314,ZZMA_SQbu@ShengShi8@Id807035.MFA@26314,Trader
ShengShi8*11220006*Id807035.MFA_T0_C*ZZTA_ZZMA@ShengShi8@Id807035.MFA@26318,ZZTA_ZZMA@ShengShi8@Id807035.MFA@26318,Trader
ShengShi8*11220006*Id807035.MFA_T0_C*ZZTA_SQru@ShengShi8@Id807035.MFA@26317,ZZTA_SQru@ShengShi8@Id807035.MFA@26317,Trader
ShengShi8*11220006*Id807035.MFA_T0_C*ZZMA_SQru@ShengShi8@Id807035.MFA@26315,ZZMA_SQru@ShengShi8@Id807035.MFA@26315,Trader
ShengShi8*11220006*Id807035.MFA_T0_C*DLpp_ZZTA@ShengShi8@Id807035.MFA@26307,DLpp_ZZTA@ShengShi8@Id807035.MFA@26307,Trader
ShengShi8*11220006*Id807035.MFA_T0_C*DLpp_SQru@ShengShi8@Id807035.MFA@26306,DLpp_SQru@ShengShi8@Id807035.MFA@26306,Trader
ShengShi8*11220006*Id807035.MFA_T0_C*DLl_SQru@ShengShi8@Id807035.MFA@26303,DLl_SQru@ShengShi8@Id807035.MFA@26303,Trader
ShengShi8*11220006*Id807035.MFA_T0_A,Id807035.MFA_T0_A,Strategy
