HongShang1,HongShang1,Fund
HongShang1*11220003,11220003,Account
HongShang1*11220003*Cn.Id807035.All_BN,Cn.Id807035.All_BN,Strategy
HongShang1*11220003*Cn.Id807035.All_BN*DLi_DLjm@HongShang1@Cn.Id807035.All_BN@59201,DLi_DLjm@HongShang1@Cn.Id807035.All_BN@59201,Trader
HongShang1*11220003*Cn.Id807035.All_BN*DLj_SQhc@HongShang1@Cn.Id807035.All_BN@59205,DLj_SQhc@HongShang1@Cn.Id807035.All_BN@59205,Trader
HongShang1*11220003*Id807035.MFA_T0_C,Id807035.MFA_T0_C,Strategy
HongShang1*11220003*Id807035.MFA_T0_C*ZZMA_SQbu@HongShang1@Id807035.MFA@26314,ZZMA_SQbu@HongShang1@Id807035.MFA@26314,Trader
HongShang1*11220003*Id807035.MFA_T0_C*ZZTA_SQru@HongShang1@Id807035.MFA@26317,ZZTA_SQru@HongShang1@Id807035.MFA@26317,Trader
HongShang1*11220003*Id807035.MFA_T0_C*ZZTA_ZZMA@HongShang1@Id807035.MFA@26318,ZZTA_ZZMA@HongShang1@Id807035.MFA@26318,Trader
HongShang1*11220003*Id807035.MFA_T0_C*DLpp_SQru@HongShang1@Id807035.MFA@26306,DLpp_SQru@HongShang1@Id807035.MFA@26306,Trader
HongShang1*11220003*Id807035.MFA_T0_C*ZZMA_SQru@HongShang1@Id807035.MFA@26315,ZZMA_SQru@HongShang1@Id807035.MFA@26315,Trader
HongShang1*11220003*Id807035.MFA_T0_C*DLv_SQru@HongShang1@Id807035.MFA@26310,DLv_SQru@HongShang1@Id807035.MFA@26310,Trader
HongShang1*11220003*Id007969_IntraCom2,Id007969_IntraCom2,Strategy
HongShang1*11220003*Id007969_IntraCom2*DLm@HongShang1@Id007969_IntraCom2@60705,DLm@HongShang1@Id007969_IntraCom2@60705,Trader
HongShang1*11220003*Id007969_IntraCom2*DLpp@HongShang1@Id007969_IntraCom2@60706,DLpp@HongShang1@Id007969_IntraCom2@60706,Trader
HongShang1*11220003*Id007969_IntraCom2*ZZSM@HongShang1@Id007969_IntraCom2@60723,ZZSM@HongShang1@Id007969_IntraCom2@60723,Trader
HongShang1*11220003*Id007969_IntraCom2*ZZMA@HongShang1@Id007969_IntraCom2@60720,ZZMA@HongShang1@Id007969_IntraCom2@60720,Trader
HongShang1*11220003*Id007969_IntraCom2*SQru@HongShang1@Id007969_IntraCom2@60716,SQru@HongShang1@Id007969_IntraCom2@60716,Trader
HongShang1*11220003*Id007969_IntraCom2*ZZRM@HongShang1@Id007969_IntraCom2@60722,ZZRM@HongShang1@Id007969_IntraCom2@60722,Trader
HongShang1*11220003*CnCom.Id807035.CalArbAll2N,CnCom.Id807035.CalArbAll2N,Strategy
HongShang1*11220003*CnCom.Id807035.CalArbAll2N*DLp@HongShang1@CnCom.Id807035.CalArbAll2N@58702,DLp@HongShang1@CnCom.Id807035.CalArbAll2N@58702,Trader
HongShang1*11220003*CnCom.Id807035.CalArbAll2N*DLp@HongShang1@CnCom.Id807035.CalArbAll2N@58701,DLp@HongShang1@CnCom.Id807035.CalArbAll2N@58701,Trader
HongShang1*11220003*CnCom.Id807035.CalArbAll2N*DLp@HongShang1@CnCom.Id807035.CalArbAll2N@58703,DLp@HongShang1@CnCom.Id807035.CalArbAll2N@58703,Trader
HongShang1*11220003*CnCom.Id807035.CalArbAll2N*DLy@HongShang1@CnCom.Id807035.CalArbAll2N@58705,DLy@HongShang1@CnCom.Id807035.CalArbAll2N@58705,Trader
